Volumen,Flow,Volume,Max
0,0,0,0
371000000,0,371000000,1632.96
386300000,5.46417,386300000,472104.288
402100000,11.08739,402100000,957950.496
418200000,16.81738,418200000,1453021.632
434500000,22.61855,434500000,1954242.72
451300000,28.59767,451300000,2470838.688
468500000,34.71915,468500000,2999734.56
486000000,40.9474,486000000,3537855.36
504000000,47.3536,504000000,4091351.04
522300000,53.86657,522300000,4654071.648
541200000,60.59308,541200000,5235242.112
560500000,67.46195,560500000,5828712.48
580200000,74.47318,580200000,6434482.752
600600000,81.73354,600600000,7061777.856
621500000,89.17185,621500000,7704447.84
643000000,96.8237,643000000,8365567.68
665300000,104.76027,665300000,9051287.328
688200000,112.91038,688200000,9755456.832
711700000,121.27403,711700000,10478076.19
736000000,129.9224,736000000,11225295.36
761200000,138.89108,761200000,12000189.31
787500000,148.25125,787500000,12808908
814500000,157.86055,814500000,13639151.52
842500000,167.82575,842500000,14500144.8
871500000,178.14685,871500000,15391887.84
902000000,189.0018,902000000,16329755.52
933500000,200.21265,933500000,17298372.96
966000000,211.7794,966000000,18297740.16
1000200000,223.95118,1000200000,19349381.95
1036000000,236.6924,1036000000,20450223.36
1073000000,249.8607,1073000000,21587964.48
1111500000,263.56285,1111500000,22771830.24
1151500000,277.79885,1151500000,24001820.64
1193000000,292.5687,1193000000,25277935.68
1236000000,307.8724,1236000000,26600175.36
1280500000,323.70995,1280500000,27968539.68
1326000000,339.9034,1326000000,29367653.76
1372000000,356.2748,1372000000,30782142.72
1418500000,372.82415,1418500000,32212006.56
1465500000,389.55145,1465500000,33657245.28
1512000000,406.1008,1512000000,35087109.12
1544000000,417.4896,1544000000,36071101.44
